epoch,train_loss,dev_loss,auc,f1,best_auc
1,0.1314566027875342,0.12545241865792697,0.5183927374515792,0.3775337147268767,False
2,0.11335779371859477,0.10990477005110227,0.5766838223104033,0.4945557892281888,False
3,0.10255770958984044,0.1032075899661373,0.580513203093943,0.49897002698309867,False
4,0.09398253565693981,0.10020101696983832,0.5979706693976652,0.5299446052311576,False
5,0.08533908028559993,0.09602348347070637,0.597773910943068,0.5290674483403439,False
6,0.07735309671274088,0.09202149604370573,0.6424390271620255,0.6008208977843817,False
7,0.0687760632563719,0.08837579067652877,0.6596334432328461,0.6248725603243646,False
8,0.06192762947376198,0.08728085774800902,0.6672367759600832,0.6365631592431684,False
9,0.05549555206880579,0.08744930401979017,0.6935136670249765,0.6715142698454946,False
10,0.05039270331076619,0.08281870798238744,0.7024768168181016,0.6823239717923176,False
11,0.04491007356980825,0.0853615730389239,0.7120700170420007,0.6947554068637292,False
12,0.04020119123682377,0.08547801311686822,0.7116653586574611,0.6950705177486387,False
13,0.03666172636981398,0.08409493541242125,0.6899120737048703,0.6666639237179877,False
14,0.033010595555910176,0.086815644564701,0.7323971931503992,0.7208787155867007,False
15,0.030288642263930403,0.09063065540118227,0.7219039845481108,0.7098996095599374,False
16,0.027181641971601812,0.08299263258042408,0.6929963126173198,0.6707944164238135,False
17,0.024879263279138777,0.08894739574389884,0.7323661641415626,0.7216545403171688,False
18,0.02299098437421208,0.0843212962071008,0.7345904482794888,0.7233432861900866,False
19,0.02087881985960293,0.08906181992323634,0.7444533279141198,0.7356779875185716,False
20,0.019307700055239494,0.08948828395839607,0.7546368035018102,0.7479212326037361,False
21,0.01801842570523728,0.09069068344232536,0.7589723972176616,0.7531143478034934,False
22,0.01641530518149198,0.09597661767646623,0.7634206869566302,0.7587623633290381,False
23,0.01483628292251096,0.08996449659433824,0.7539359489952171,0.7470447102685853,False
24,0.014200721360298055,0.08968253663574617,0.7577984756679093,0.751175878881301,False
25,0.01350289851980151,0.09038444860946669,0.7557643208067498,0.749630148543192,False
26,0.012200984580993697,0.0909702664941435,0.760688073006077,0.7550806021156564,False
27,0.01141427709463191,0.08623194155461518,0.7537967362607783,0.7462690170611206,False
28,0.010643105297023095,0.09163217752644798,0.7643095538596745,0.7592764317447566,False
29,0.010225759970086018,0.09584459339077517,0.7596819977824008,0.7546555157087401,False
30,0.009355203720909396,0.09683684736052639,0.7607631108425272,0.7560624965312586,False
31,0.009053826723852184,0.09465971932091141,0.7709821277365692,0.7667454304950327,False
32,0.008346433661228815,0.09262152447309435,0.7598567518231909,0.7542303932626513,False
33,0.007953825688556074,0.09683261372008507,0.7636240745890578,0.7591002638116255,False
34,0.007759357132285793,0.09196495599317447,0.7670578215830879,0.7617944605799191,False
35,0.006981845186026093,0.09010017205364772,0.7635158908634554,0.75797856337491,False
36,0.006827492168869184,0.09187845335880146,0.7617426693548819,0.7563798966742205,False
37,0.006519000329196106,0.09652889892521076,0.7646919292935236,0.7604293914779525,False
38,0.005994300366049586,0.0931311148821303,0.766712825799022,0.7620032484674104,False
39,0.005830857663390138,0.09388918257303674,0.7710927068793707,0.7666707904055571,False
40,0.005596579984908567,0.0928829838999639,0.7727155741781602,0.768191369459782,False
41,0.005282814120159221,0.09121187139055714,0.7500535347890339,0.7427972807552076,False
42,0.004893034972525785,0.09354320859473436,0.7676236971158732,0.763209435583076,False
43,0.004735635931690904,0.08766781229288972,0.7567571376747652,0.7499166360191778,False
44,0.004675470718305562,0.09009480782707287,0.7597772016892259,0.7538309115233476,False
45,0.004577812524205484,0.09489014726856326,0.7675242594484167,0.7627608955370105,False
46,0.004221149517481784,0.09659542814245232,0.7624899281062879,0.7574525851966436,False
47,0.0040452787155331365,0.09940493963789347,0.7774932059283346,0.7744655029036882,False
48,0.003966345475625499,0.09322065163211674,0.7693372560239728,0.764555750546031,False
49,0.00362536641121737,0.09289073348095078,0.7696379644435412,0.7647492114511607,False
50,0.0036559556932295205,0.09236514446369579,0.7641769703030659,0.7586395814310365,False
51,0.0033772533797511986,0.09598320774173331,0.7730382870115354,0.7690408439769478,False
52,0.0031933214834367397,0.09180275825965431,0.7670644507609181,0.7618261036827263,False
53,0.003201627446724567,0.09432740807694882,0.7690498059600653,0.7644212125613554,False
54,0.0030295454321846026,0.08858137476698855,0.7573055210912585,0.749957235196796,False
55,0.002977637177953758,0.09487548628136648,0.770281273229976,0.7659105195985618,False
56,0.002796381176499053,0.09689415983101093,0.7684351307652678,0.7639687135088823,False
57,0.0026366773026129196,0.09436160000406321,0.7657886961265101,0.7607239427273458,False
58,0.0026562112227959027,0.09695582357110155,0.7747672211556117,0.7710116499905022,False
59,0.002434655243003065,0.09409716227939566,0.7706726732588548,0.7659386829950998,False
60,0.0025529007066933504,0.09238475840740762,0.7709468649671014,0.7660108241280191,False
61,0.0023349896371002076,0.09757314151224142,0.7666067589537353,0.7615110322843273,False
62,0.0023734349160106903,0.09587116265722613,0.767721017903014,0.7630696169485298,False
63,0.002201243637502153,0.09269821895704472,0.7636397283619178,0.757939372639921,False
64,0.0020642266220484945,0.09665614798299542,0.7678117095123242,0.7628926634317647,False
65,0.002011513381661951,0.09483280013230375,0.7751188461175078,0.7708988652005031,False
66,0.0019701792122576176,0.0953504772160321,0.7683091763864898,0.763396141992375,False
67,0.0019138838593336855,0.09895953192347162,0.7749043170097349,0.771060127905705,False
68,0.0018569160061966392,0.09914504178458892,0.7767326888212676,0.7734218615956534,False
69,0.00176251484816836,0.09382675613865478,0.7659125336249726,0.7606928135546207,False
70,0.0016845782124800413,0.10067706735891391,0.7730979496120092,0.7692912266245405,False
71,0.001658757311795068,0.09368638967171786,0.7657025168147145,0.7603126723463552,False
72,0.001660554354036179,0.09576095055354251,0.7716100612870276,0.7672614860159384,False
73,0.0015518298855908027,0.09546371460602436,0.7681389346432143,0.7632078031935479,False
74,0.0015406531983520818,0.09650972152858271,0.7563325917567343,0.7498036271493885,False
75,0.0014817048046336884,0.09687522295989866,0.7744267376690608,0.7706401483651368,False
76,0.0014575918639436265,0.09791837459538569,0.7746036085901666,0.770853283656741,False
77,0.0013329544252093158,0.10044939458574095,0.7755078507291873,0.7719961668275768,False
78,0.0014396527120027532,0.09929657214032615,0.7759788008920311,0.7723915216061813,False
79,0.0012617308541311696,0.09353964183409307,0.77238834904727,0.767875446981277,False
80,0.0012875857592355476,0.09236206411544576,0.775306858513959,0.7706006060723629,False
81,0.0013154978625429462,0.09271604687860648,0.7728791867436052,0.7683493408274504,False
82,0.001131670628875464,0.09737763121157224,0.7721207865168538,0.7678225584546714,False
83,0.0012192474773967774,0.10060000884951643,0.7772235265176026,0.7738978589827734,False
84,0.0011167727551373555,0.09696886519145115,0.7748976878319045,0.7710325063180365,False
85,0.0011248986450413604,0.10020017939180399,0.7717824199106187,0.7679977666875495,False
86,0.001102340106408102,0.09478321533551325,0.7708694317134519,0.766246569276719,False
87,0.0010435998383811085,0.09751886569228332,0.7782892643417527,0.7746916443027521,False
88,0.0010922977567151715,0.10452033493008316,0.7846632466793947,0.7822307568214235,False
89,0.0010514870555436491,0.10043498007998669,0.784170292102744,0.781320654791114,False
90,0.0009484578252766503,0.09635819313183971,0.7766663970429633,0.7731591179209218,False
91,0.0009838956289900625,0.09529984597817259,0.7735423830635314,0.7695715369495499,False
92,0.0009145859792031159,0.09712552915883745,0.7710529318123883,0.7664937532133084,False
93,0.0008589206693468568,0.09564053868210098,0.7731289786208457,0.7688863148898706,False
94,0.000942003350247872,0.10123497922729963,0.7786848981312626,0.7757521940795462,False
95,0.0008393566648260742,0.10314023448597225,0.7717513909017821,0.7683781849413112,False
96,0.0008718254012893929,0.09744926267169104,0.7694433228692596,0.7650333240987086,False
97,0.0007843990817126356,0.09755329925665747,0.7762264758889561,0.7723822400167322,False
98,0.0008702396549209765,0.09960362389428865,0.7753044630967598,0.771676951292255,False
99,0.0007378875118986146,0.09861969810999258,0.7753707548750639,0.7719436272048847,False
100,0.0007462975530025633,0.09738128676503305,0.7772545555264392,0.7735245071046356,False
101,0.0009293221080407557,0.09955621887624373,0.7768498971418996,0.7733971474948267,False
102,0.0007565774530427828,0.10324203430482427,0.7803939447418475,0.7776117836939241,False
103,0.000731609640631293,0.10116847718951003,0.76968648556867,0.7655391245394811,False
104,0.000667709223723584,0.10237167252735206,0.7800136861883141,0.7770980466150785,False
105,0.0007277785138527671,0.09837751007744079,0.7773473640160652,0.7738993674631096,False
106,0.0006405675465770647,0.1035437340756927,0.7813557326010265,0.7784931909433562,False
107,0.0007118126774460098,0.09923759660029798,0.7809887324031539,0.7780273429930716,False
108,0.0006517680256518097,0.10223497778062886,0.7784748813210046,0.7754185583864892,False
109,0.0007263716795376355,0.09947468496047256,0.7771704930949592,0.7736879104385985,False
110,0.0006168775881478273,0.10938299507283118,0.7756094052769592,0.7728555902606535,False
111,0.0006602099481195345,0.1072299209305724,0.7768143558355483,0.7741849618351551,False
112,0.0006345102613687482,0.09959231903902402,0.7778315725345697,0.7743488426745402,False
113,0.0006660075163754772,0.10485042079514859,0.7766221096784658,0.7734691572655246,False
114,0.0005993877983795343,0.0988438456555017,0.7756449465833106,0.7720477021524141,False
115,0.0007101660163203576,0.10239584503305932,0.7666375094256882,0.762792501820715,False
116,0.0006032751359117049,0.10121262377824515,0.7701264067226771,0.7663333185005177,False
117,0.0006105689707161479,0.10215073708372106,0.7820565871076195,0.779299695421245,False
118,0.0005188840837765558,0.10234805377069398,0.7792552859615628,0.7765224956017505,False
119,0.000694830617291956,0.09658781149334945,0.7769273303955492,0.7732075157487324,False
120,0.0005891676206907281,0.10092651846448925,0.776726059643437,0.7733958483003743,False
121,0.0005534773494708333,0.09613363759711213,0.7763569425652488,0.7724021476224971,False
122,0.0006153947230465953,0.1102704573481723,0.7823084958651757,0.7801760241814493,False
123,0.000515986164756602,0.10049326587813377,0.7812496657557397,0.7780945299469115,False
124,0.0005090512350018184,0.099551120144824,0.780471377995497,0.7774508372335418,False
125,0.0005091178010495283,0.09825246280965833,0.7741856918499661,0.7706750541513689,False
126,0.0005258437452385236,0.0986243605622411,0.7783422977643961,0.77490394432108,False
127,0.0005754001954531348,0.10280294950952638,0.7747560796802665,0.7714664758087604,False
128,0.0004977352561998767,0.09895223015868045,0.7804183445728536,0.777249152684093,False
129,0.00045760680722722603,0.10303046129769482,0.7773494808963807,0.7743816956476413,False
130,0.0005027925568936742,0.10160506314361968,0.7770023682319994,0.7739890400466914,False
131,0.0005359142939973841,0.10437077680786355,0.7809577033943174,0.7783526336985198,False
132,0.00048354866828809445,0.10039272725901628,0.7744731419138738,0.7708308250331727,False
133,0.0004092645914791544,0.1005026764119373,0.7828945374683358,0.7801677887090924,False
134,0.00057479892774419,0.1051260332115232,0.7839048464526432,0.7816378032926197,False
135,0.0004106586716683479,0.10327604219588457,0.7790253816178134,0.7761195215800678,False
136,0.000427791155208587,0.10425243838588433,0.7790452691513048,0.7761932906140973,False
137,0.0005119041448503194,0.10608609220882961,0.7813180744143595,0.7787887172559212,False
138,0.0004282817166661211,0.1025492283591002,0.7763081429032367,0.7732025841854726,False
139,0.00044012491528916755,0.10183147993762386,0.7831575877012373,0.7806807767104497,False
140,0.00041205277242647325,0.10047565219588497,0.7782648645107467,0.7750822634327823,False
141,0.00041747439691876715,0.10615000751254287,0.7817248496792146,0.7793842577649889,False
142,0.0004149416422329472,0.10363372909295207,0.7768652723778762,0.7739300230037681,False
143,0.0005388138358177815,0.10603053436235238,0.7775793852401301,0.7747870028018884,False
144,0.0005042189340092925,0.10408405172900446,0.7774335433278607,0.7742372695824304,False
145,0.0004146299673458691,0.10399763783679002,0.7823904414163398,0.7796421318907233,False
146,0.00047878037837798334,0.10782491103008615,0.7798521905031848,0.7773788933390042,False
147,0.00041325638516460835,0.1037164105877253,0.7752668049100928,0.772020018691921,False
148,0.0003590223037215465,0.10201209544515134,0.7786915273090931,0.7757769347729981,False
149,0.0003890223493030021,0.10903001228437864,0.7819613832007944,0.7797907321709974,False
150,0.0003653933221065973,0.10135950343787481,0.7800004278326532,0.7770485854600913,False
151,0.00038798827833195246,0.09978949263456935,0.7784417354318527,0.7752920550984019,False
152,0.0005683008452237785,0.09960001395465475,0.7789856065508309,0.7759704535072931,False
153,0.000302026351596086,0.10629203440253193,0.7822223165533801,0.7798851655352541,False
154,0.0002954136615896606,0.11229824326371741,0.7797681280717048,0.7774946011305452,False
155,0.0003691570320103346,0.10531663677712504,0.7844619759272827,0.7823383625523528,False
156,0.000397180717889185,0.10315119272295926,0.7817558786880512,0.7790773074075017,False
157,0.0003596375361980763,0.10865514015478352,0.7878357817839553,0.7862137697986435,False
158,0.000375971706912325,0.10383677997699559,0.7806238490855969,0.7780105852937336,False
159,0.0003396007090349554,0.1015006461022703,0.7755277382626785,0.7720757579730886,False
160,0.0003520637187731466,0.10142985119826405,0.7811722325020901,0.7782604901443413,False
161,0.0004835258233991475,0.10718679453804032,0.779288431850715,0.7766423916745886,False
162,0.00035560181650043485,0.1014954261043529,0.7794565567136749,0.7763717919485887,False
163,0.00032581184182743487,0.10764518562233769,0.7794255277048383,0.7767056552003426,False
164,0.0003608300194152954,0.10502512500544144,0.7793923818156863,0.77658458638997,False
165,0.0003211223664552158,0.10309425380466956,0.7810351366479669,0.7781994623985495,False
166,0.0004363393005215565,0.099678068901817,0.7805488112491465,0.7772801048481826,False
167,0.0003503594284029042,0.09916119892650557,0.7766133636203199,0.7729447301258184,False
168,0.0002867599796791698,0.10061066574824984,0.7781078811231319,0.7749489895336668,False
169,0.0003286581751414952,0.10875664919026752,0.7857973931621647,0.7837030123169149,False
170,0.00031245975743088414,0.10611683733005436,0.7749064338900506,0.771572946140247,False
171,0.0003414655443645574,0.10160972764406302,0.7746367544793188,0.7709892312660268,False
172,0.00035787537849981803,0.1117044651886144,0.7844243177406157,0.7825855511082807,False
