margin,best_auc,f1,epoch
0.75,0.7392,0.7379581397277712,297
0.25,0.7380,0.7367858678738213,79
0.50,0.7333,0.7323863231181668,239
1.00,0.7309,0.7303162374516785,274
1.25,0.6782,0.6683767130366722,232
1.50,0.6257,0.5975867718173742,270
1.75,0.6147,0.5804477126718313,226
