epoch,train_loss,dev_loss,auc,f1,best_auc
1,0.22941931001366303,0.20997118134341852,0.5206589135368034,0.3842379874456164,False
2,0.19672144751763873,0.19333150061386645,0.5459276124977048,0.43640107662872524,False
3,0.17729932987253982,0.17709796762458474,0.5586891140655332,0.45977989188748725,False
4,0.15820270180120027,0.17647143143675034,0.580690074015049,0.4994314568562127,False
5,0.1410180844839034,0.161876724853592,0.6037124844242174,0.5381771325352207,False
6,0.12681965822680696,0.15884311707811882,0.6396886425582966,0.5964981046082145,False
7,0.11420591251185923,0.1544136371225462,0.6462307497588984,0.6068490872743602,False
8,0.10081408479057345,0.1511787309603641,0.6569957546522345,0.6223416560181767,False
9,0.09048400978107889,0.14836060190248546,0.6660384545793245,0.634875152751,False
10,0.08186221884968735,0.14366005664672993,0.671733865361064,0.6414477692658398,False
11,0.0735018617211662,0.14590168053968988,0.687575093543827,0.6641068250506188,False
12,0.06647326160970639,0.1487668948899162,0.6805819237138726,0.6549291288421724,False
13,0.060628811588608375,0.14880341468461264,0.7106969416204518,0.6942843430141411,False
14,0.054557246060118345,0.15458633972093494,0.6996134576543718,0.6818355619660021,False
15,0.04993782798935069,0.15205198508480167,0.6942630426566981,0.6745751699312738,False
16,0.0454958191021748,0.14765293997893167,0.7204935294767785,0.7068123140912674,False
17,0.041094251741153075,0.14970419970017015,0.712985122119483,0.6988285501865096,False
18,0.03797983971242772,0.15168919658822008,0.7151982647820638,0.7014865645699832,False
19,0.03493022363121756,0.15682024698802075,0.7267701910272797,0.716210922261421,False
20,0.03269081883065345,0.15468898903402606,0.7292575253981071,0.7187383230948073,False
21,0.03001724873108051,0.15739372560601192,0.7363302453620266,0.7274398194091233,False
22,0.02773604529376089,0.1577226830587032,0.7293171879985809,0.7191439066806705,False
23,0.02646977723858224,0.1553112359202487,0.7319482474013623,0.7216907808501343,False
24,0.024728563621904884,0.15366663332377734,0.7290673961213404,0.7184026128699063,False
25,0.02333581267488795,0.15270643420710142,0.7264541073717349,0.7149863519846725,False
26,0.022030694154354814,0.15214793026775505,0.7384108044679991,0.7291533478365612,False
27,0.020252395318104462,0.15401326735290605,0.7390541132544338,0.7305693425406417,False
28,0.01947431919887865,0.1569433155142165,0.7414507560159511,0.7333773791998089,False
29,0.01860979668611705,0.15582185730539497,0.7301551383592975,0.720045502315374,False
30,0.01729790481710412,0.15587740540927147,0.7456802828865157,0.7380731621292428,False
31,0.016537254124901937,0.1555424942750774,0.7405332555212696,0.7320023671858573,False
