epoch,train_loss,dev_loss,auc,f1
1,0.061878188536230366,0.06113936438418063,0.5161928531446591,0.37345162732346027
2,0.05620084378833438,0.05743519463802486,0.5197944464647654,0.3819588044748496
3,0.05300320796872024,0.05380995158617671,0.5341146404333945,0.41151828069110086
4,0.04978274823839342,0.05241000948695414,0.5349724783276022,0.41342784287413864
5,0.04652913568144325,0.050307816860772486,0.5616428863016898,0.46676868475691674
6,0.04340721131906329,0.04998246763736363,0.5946917889109341,0.5273200179853347
7,0.039556665034653445,0.04821218824458206,0.5845083133232436,0.5075891977531791
8,0.03638800748698735,0.04729569449600584,0.6153705899812288,0.5610760563380282
9,0.03282441446630481,0.04731196546005562,0.6196664086300977,0.5682284027179341
10,0.02969258385206905,0.04796587575482503,0.6451936455263857,0.6097729011509
11,0.02725888962330463,0.052339896422961746,0.6601680112199113,0.6355557384355892
12,0.02453562680371646,0.04807212538538563,0.6439422907229837,0.6072591840358983
13,0.02219749020541736,0.049721793322417565,0.6704909780789244,0.6465349239739484
14,0.020400658972730894,0.04977714070568852,0.6649260339734779,0.6398824639500629
15,0.0185435235390368,0.05457523454713559,0.6922240969611403,0.6786828303275672
16,0.016818382385277917,0.05597461694153764,0.7003004967315368,0.6897924392939851
17,0.015127365742363496,0.05529996049079914,0.6975811411366444,0.6855791248672786
18,0.01379707953184967,0.05296661963988759,0.6907871251784865,0.6751838208816838
19,0.01299009705354874,0.0560065651703772,0.7040946147456089,0.6924657218963233
20,0.0117039526558533,0.0554037189992863,0.6899534085784013,0.6767449720943434
21,0.0110424515969699,0.06479195736494085,0.7118700275595534,0.7056070695850769
22,0.010161718360569475,0.061794452111867834,0.7149500327113716,0.707587385540773
23,0.009322514463660385,0.05930195381063343,0.708217796234003,0.6994394722552306
24,0.008695342333160778,0.06674397998235669,0.717817347098849,0.7128786918802653
25,0.008186648259894123,0.05952252745727814,0.7111628224120136,0.7021895202350819
26,0.007399992803107967,0.05436517825095617,0.6994827124411952,0.6857703834626911
27,0.00686453869650886,0.06379252042631942,0.7145541203849779,0.708438822607786
28,0.006812730405250705,0.059695339413729925,0.7021156101874084,0.6925506987122825
29,0.0061170424989356285,0.05982306648848273,0.705047378009758,0.6951979363101488
30,0.0058877793527247185,0.06746507715387215,0.7233557744929736,0.7186862369170833
31,0.005392585258207372,0.06104869888677395,0.7100440511652202,0.7012911071866437
32,0.005174336654898512,0.06749563107362438,0.7211736608392294,0.7157350652632062
33,0.004928533106021338,0.0667669224098571,0.7094336097310537,0.7026303723373599
34,0.004422283900496506,0.06927335769529834,0.7123497237805432,0.7067377253456408
35,0.004323571841423002,0.06700496909894073,0.7146912162391014,0.7084481040578691
36,0.004224783401432678,0.0668351934088623,0.7147885370262422,0.7082341809526947
37,0.003960326207778184,0.06507102271143192,0.7154607579411979,0.7081659535023166
38,0.0036776286869560876,0.06672012199250363,0.7193519182055274,0.7132067581207878
39,0.003528893639987187,0.06633156475351666,0.7116976689359623,0.7046293701750777
40,0.003338862184906939,0.06618368180073025,0.7148593411020612,0.707859667994154
41,0.003262058437868909,0.06547161418091131,0.7126528276173107,0.7053963049681654
42,0.0030670655819267714,0.06325891931725726,0.7095333259353938,0.7007044161442353
43,0.002847444081049435,0.06794500116233373,0.7170348255779752,0.7108994115676295
44,0.0027794132851223495,0.07735185465628887,0.7286109855838223,0.7254806451478073
45,0.0026873143598234086,0.07125806709014572,0.7172005550237357,0.7117771089868966
46,0.002561217386120416,0.06456903979274241,0.7122394231746252,0.7045753616311435
